City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Geraldton,AU,-28.7667,114.6,63.01,88,78,5.75,broken clouds
148,Bredasdorp,ZA,-34.5322,20.0403,69.12,78,37,13.8,scattered clouds
149,Fairview,US,40.8126,-73.999,33.01,80,100,33.38,haze
150,Pacific Grove,US,36.6177,-121.9166,67.39,67,0,10.36,clear sky
151,Norman Wells,CA,65.282,-126.8329,-5.76,65,75,18.41,broken clouds
152,Lebu,CL,-37.6167,-73.65,63.55,72,3,18.61,clear sky
153,Atambua,ID,-9.1061,124.8925,74.14,88,100,2.1,overcast clouds
154,Saint-Francois,FR,46.4154,3.9054,45.84,81,0,3.44,light rain
155,Provideniya,RU,64.3833,-173.3,13.73,65,0,11.25,clear sky
156,Bonavista,CA,48.6499,-53.1147,30.6,79,98,21.0,overcast clouds
157,Mapiripan,CO,2.8892,-72.1256,89.37,53,100,6.35,overcast clouds
158,Cape Town,ZA,-33.9258,18.4232,69.12,74,75,6.91,broken clouds
159,Cap Malheureux,MU,-19.9842,57.6142,81.46,83,21,5.99,few clouds
160,Andenes,NO,69.3143,16.1194,40.98,75,0,11.5,clear sky
161,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,83.01,25,100,3.22,light rain
162,Singaparna,ID,-7.3515,108.111,73.29,95,100,2.48,overcast clouds
163,Nelson Bay,AU,-32.7167,152.15,63.0,97,54,3.18,broken clouds
164,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,9.22,clear sky
165,Ngunguru,NZ,-35.6167,174.5,65.89,89,100,8.3,overcast clouds
166,Namatanai,PG,-3.6667,152.4333,78.19,77,76,5.97,broken clouds
167,De Aar,ZA,-30.6497,24.0123,72.07,59,13,9.71,light rain
168,Krasnoyarka,RU,55.3333,73.1167,6.75,95,96,8.43,overcast clouds
169,Aksu,CN,41.1231,80.2644,52.14,28,100,3.24,overcast clouds
170,Prachuap Khiri Khan,TH,12.2167,99.75,72.73,81,100,2.71,overcast clouds
171,Areosa,PT,41.7178,-8.8571,51.94,79,100,9.01,overcast clouds
172,Tuy Hoa,VN,13.0833,109.3,70.45,90,37,3.87,scattered clouds
173,Deputatskiy,RU,69.3,139.9,-20.36,100,100,0.81,overcast clouds
174,Onverwacht,SR,5.5833,-55.1833,84.85,89,75,5.75,broken clouds
175,Astoria,US,46.1879,-123.8313,53.71,62,100,18.41,overcast clouds
176,Saint-Augustin,CA,51.226,-58.6502,14.56,95,100,20.27,snow
177,Avera,US,33.194,-82.5271,43.56,30,0,27.51,clear sky
178,Nieves,PH,15.3274,120.9485,73.9,91,93,2.66,overcast clouds
179,Tucurui,BR,-3.7661,-49.6725,82.69,81,70,3.06,broken clouds
180,Benemerito De Las Americas,MX,16.5167,-90.6439,91.78,43,59,8.1,broken clouds
181,Cherskiy,RU,68.75,161.3,-11.54,100,100,6.17,overcast clouds
182,Tual,ID,-5.6667,132.75,82.9,75,64,2.57,broken clouds
183,Praia,CV,14.9215,-23.5087,75.74,50,20,23.02,few clouds
184,Tessalit,ML,20.1986,1.0114,77.5,10,0,10.51,clear sky
185,Tallahassee,US,30.4383,-84.2807,52.68,42,40,25.32,scattered clouds
186,Ribeira Do Pombal,BR,-10.8344,-38.5358,89.29,40,100,9.19,overcast clouds
187,Antalaha,MG,-14.9003,50.2788,74.12,91,100,6.17,overcast clouds
188,Gbarnga,LR,6.9956,-9.4722,78.17,79,99,5.61,light rain
189,Akyab,MM,20.15,92.9,74.19,49,87,8.14,overcast clouds
190,Berbera,SO,10.4396,45.0143,77.13,80,88,7.25,overcast clouds
191,Samarai,PG,-10.6167,150.6667,82.11,79,99,8.79,overcast clouds
192,Alyangula,AU,-13.8483,136.4192,78.67,100,100,0.0,overcast clouds
193,Nanortalik,GL,60.1432,-45.2371,15.42,72,100,43.93,overcast clouds
194,Khash,IR,28.2211,61.2158,67.82,31,54,5.12,broken clouds
195,Sulangan,PH,11.1373,123.7228,81.09,83,100,4.85,overcast clouds
196,Bubaque,GW,11.2833,-15.8333,76.06,76,20,18.05,few clouds
197,Tambopata,PE,-12.7333,-69.1833,73.29,83,75,8.05,broken clouds
198,Meiganga,CM,6.5167,14.3,79.29,25,98,0.78,overcast clouds
199,Teya,RU,60.3778,92.6267,-18.22,100,97,1.88,overcast clouds
200,Sivaki,RU,52.6333,126.75,1.2,99,100,2.59,overcast clouds
201,Touros,BR,-5.1989,-35.4608,82.22,69,73,7.25,broken clouds
202,Okha,RU,53.5739,142.9478,14.13,96,100,4.85,overcast clouds
203,Ambilobe,MG,-13.2,49.05,73.38,96,99,2.06,moderate rain
204,Ayan,RU,56.45,138.1667,9.16,83,100,5.01,overcast clouds
205,Kenai,US,60.5544,-151.2583,35.02,96,100,10.36,light rain
206,Cabedelo,BR,-6.9811,-34.8339,86.67,72,90,9.84,overcast clouds
207,Yellowknife,CA,62.456,-114.3525,5.41,75,75,12.66,broken clouds
208,Awbari,LY,26.5921,12.7805,58.08,20,0,7.27,clear sky
209,Pangkalanbuun,ID,-2.6833,111.6167,74.26,97,99,1.9,light rain
210,Chuy,UY,-33.6971,-53.4616,67.44,56,0,10.6,clear sky
211,Ajaccio,FR,42.0,8.9167,49.98,44,0,5.75,clear sky
212,Paita,PE,-5.0892,-81.1144,81.32,67,69,14.52,broken clouds
213,Hiroshima,JP,34.3963,132.4594,57.4,31,100,2.01,overcast clouds
214,Diu,IN,20.7141,70.9822,79.38,41,0,8.81,clear sky
215,Olafsvik,IS,64.8945,-23.7142,37.15,64,54,19.17,broken clouds
216,Mbinga,TZ,-10.9333,35.0167,62.76,94,100,2.57,light rain
217,Cidreira,BR,-30.1811,-50.2056,71.71,60,41,9.4,scattered clouds
218,Ixtapa,MX,20.7,-105.2,76.23,53,0,8.05,clear sky
219,Kinsale,IE,51.7075,-8.5306,47.23,76,40,23.02,scattered clouds
220,Saint-Pierre,RE,-21.3393,55.4781,78.48,87,75,19.57,broken clouds
221,Richards Bay,ZA,-28.783,32.0377,75.18,84,0,10.09,clear sky
222,Haines Junction,CA,60.7522,-137.5108,22.95,63,100,9.22,overcast clouds
223,Tiksi,RU,71.6872,128.8694,-15.21,98,100,5.3,overcast clouds
224,Humberto De Campos,BR,-2.5983,-43.4611,77.25,88,100,0.98,heavy intensity rain
225,Antofagasta,CL,-23.65,-70.4,72.21,60,6,7.54,clear sky
226,Merced,US,37.1666,-120.7516,72.05,16,0,2.24,clear sky
227,Omsukchan,RU,62.5333,155.8,-8.54,99,97,4.68,overcast clouds
228,Magdagachi,RU,53.45,125.8,1.67,96,97,2.98,overcast clouds
229,Selaphum,TH,16.0299,103.9383,77.36,60,90,9.48,overcast clouds
230,Pedernales,DO,18.0384,-71.744,83.64,60,38,8.68,scattered clouds
231,Marsh Harbour,BS,26.5412,-77.0636,80.4,70,20,24.85,few clouds
232,Mirnyy,RU,62.5353,113.9611,-15.43,100,100,0.22,overcast clouds
233,Siocon,PH,7.7061,122.1353,78.04,87,81,4.36,broken clouds
234,Basco,PH,20.4487,121.9702,74.32,86,11,20.2,few clouds
235,Tura,IN,25.5198,90.2201,69.37,26,100,2.17,overcast clouds
236,Nikolskoye,RU,59.7035,30.7861,33.8,94,100,4.29,overcast clouds
237,Point Fortin,TT,10.1833,-61.6833,84.88,71,36,18.05,scattered clouds
238,Vicuna,CL,-30.0319,-70.7081,86.77,38,1,9.01,clear sky
239,Lancaster,US,40.2504,-76.2499,26.65,82,100,8.01,overcast clouds
240,Rocha,UY,-34.4833,-54.3333,67.68,54,1,11.14,clear sky
241,Luderitz,NA,-26.6481,15.1594,66.11,88,35,10.42,scattered clouds
242,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,40,11.5,light rain
243,Airai,TL,-8.9266,125.4092,60.21,89,87,1.36,overcast clouds
244,Padang,ID,-0.9492,100.3543,77.88,87,100,2.98,overcast clouds
245,Marquette,US,46.5333,-87.6335,15.35,49,100,9.08,overcast clouds
246,Dharur,IN,18.8167,76.1167,77.27,30,2,7.18,clear sky
247,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,14.97,light snow
248,Kuching,MY,1.55,110.3333,75.42,94,20,0.0,few clouds
249,Kayerkan,RU,69.3497,87.7602,-24.39,96,27,6.69,scattered clouds
250,Rosarito,MX,32.3333,-117.0333,78.24,31,31,11.41,scattered clouds
251,Egvekinot,RU,66.3167,-179.1667,10.22,59,0,9.6,clear sky
252,Xiuyan,CN,40.2928,123.2744,41.16,90,100,4.59,overcast clouds
253,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,71.6,99,100,2.82,overcast clouds
254,Palmer,US,42.1584,-72.3287,35.46,83,100,18.41,mist
255,Honningsvag,NO,70.9821,25.9704,37.06,97,100,5.88,overcast clouds
256,Bereda,ES,43.2686,-7.5406,46.58,93,100,4.65,overcast clouds
257,Hirado,JP,33.3597,129.5531,61.39,85,100,19.42,overcast clouds
258,Grindavik,IS,63.8424,-22.4338,37.35,86,40,16.11,light snow
259,Vendome,FR,47.8,1.0667,46.89,93,99,14.52,overcast clouds
260,Port Blair,IN,11.6667,92.75,78.84,89,20,0.0,mist
261,Taunggyi,MM,20.7833,97.0333,65.77,50,6,2.33,clear sky
262,Lazaro Cardenas,MX,17.9583,-102.2,81.72,51,5,9.98,clear sky
263,Mahebourg,MU,-20.4081,57.7,81.25,94,40,11.5,scattered clouds
264,Laela,TZ,-8.5667,32.05,61.43,84,100,3.31,overcast clouds
265,Ilulissat,GL,69.2167,-51.1,6.82,61,75,6.91,broken clouds
266,Nemuro,JP,43.3236,145.575,29.98,84,19,13.04,few clouds
267,Sagua La Grande,CU,22.8067,-80.0756,90.59,42,6,5.19,clear sky
268,Rawson,AR,-43.3002,-65.1023,60.24,60,73,20.87,broken clouds
269,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,6.91,few clouds
270,Victoria,HK,22.2855,114.1577,74.17,76,27,5.01,scattered clouds
271,Mackay,AU,-21.15,149.2,80.58,69,40,19.57,scattered clouds
272,Pangoa,PE,-12.1167,-73.0,70.38,98,100,0.76,overcast clouds
273,Erenhot,CN,43.6475,111.9767,29.46,42,100,13.24,overcast clouds
274,Traverse City,US,44.7631,-85.6206,18.73,57,100,13.8,overcast clouds
275,Santa Fe,AR,-31.6333,-60.7,82.02,44,7,3.0,clear sky
276,Homer,US,59.6425,-151.5483,41.77,88,0,3.0,clear sky
277,Beringovskiy,RU,63.05,179.3167,1.2,84,3,10.2,clear sky
278,Bonthe,SL,7.5264,-12.505,78.17,83,96,9.4,overcast clouds
279,Azare,NG,11.6765,10.1948,80.96,17,97,9.89,overcast clouds
280,Pechora,RU,65.1472,57.2244,23.02,97,100,5.5,light snow
281,Werda,BW,-25.2667,23.2833,77.2,39,8,5.88,clear sky
282,Flinders,AU,-34.5833,150.8552,61.18,90,92,3.0,light rain
283,Pedasi,PA,7.5333,-80.0333,83.75,63,6,10.36,clear sky
284,Srednekolymsk,RU,67.45,153.6833,-8.59,93,100,5.64,overcast clouds
285,Sorland,NO,67.667,12.6934,41.32,76,8,8.37,clear sky
286,Perelyub,RU,51.8667,50.3667,-2.22,100,60,6.15,broken clouds
287,Beyneu,KZ,45.3167,55.2,35.2,99,100,8.9,light snow
288,Turtas,RU,58.9417,69.1325,-8.91,100,35,3.98,scattered clouds
289,Boda,CF,4.3189,17.4695,76.28,64,88,3.0,overcast clouds
290,Najran,SA,17.4924,44.1277,72.25,13,6,4.03,clear sky
291,Diffa,NE,13.3154,12.6113,81.07,15,100,9.28,overcast clouds
292,Mandera,KE,3.9366,41.867,87.67,24,93,8.63,overcast clouds
293,Kodiak,US,57.79,-152.4072,38.71,87,100,3.44,overcast clouds
294,Sitka,US,57.0531,-135.33,39.09,87,100,4.61,light rain
295,Ravar,IR,31.2656,56.8055,74.82,21,100,12.55,overcast clouds
296,Husavik,IS,66.0449,-17.3389,29.21,73,86,11.88,overcast clouds
297,Longyearbyen,SJ,78.2186,15.6401,19.24,68,75,2.3,light snow
298,Charlottesville,US,38.0293,-78.4767,30.04,83,100,17.0,overcast clouds
299,Tezu,IN,27.9167,96.1667,70.88,25,72,4.94,broken clouds
300,Nioro,GM,13.35,-15.75,92.62,8,68,7.11,broken clouds
301,Lisakovsk,KZ,52.5369,62.4936,-3.01,100,86,9.64,overcast clouds
302,Svetlogorsk,BY,52.6333,29.7333,29.93,94,99,8.63,overcast clouds
303,San Miguel,SV,13.4833,-88.1833,92.8,49,40,3.44,scattered clouds
304,Maracena,ES,37.2076,-3.6349,52.97,67,20,8.05,few clouds
305,Talnakh,RU,69.4865,88.3972,-23.71,97,52,7.31,broken clouds
306,Lavrentiya,RU,65.5833,-171.0,5.41,77,3,7.67,clear sky
307,Port Lincoln,AU,-34.7333,135.8667,68.38,68,100,10.49,overcast clouds
308,Kaeo,NZ,-35.1,173.7833,67.32,94,98,3.42,overcast clouds
309,Nyurba,RU,63.2842,118.3319,-25.24,100,97,0.94,overcast clouds
310,Hofn,IS,64.2539,-15.2082,39.96,66,100,6.55,overcast clouds
311,Desaguadero,PE,-16.5656,-69.0417,57.09,53,73,13.89,broken clouds
312,Sokolo,ML,14.7328,-6.1219,88.03,11,0,8.63,clear sky
313,Sitapur,IN,27.5667,80.6833,65.3,41,0,5.66,clear sky
314,Griffith,US,41.5284,-87.4237,22.93,51,40,12.66,scattered clouds
315,Cabo San Lucas,MX,22.8909,-109.9124,79.9,54,0,9.22,clear sky
316,Samarinda,ID,-0.5,117.15,74.28,98,100,0.18,light rain
317,Enugu,NG,6.4402,7.4943,82.81,63,66,10.16,broken clouds
318,Hirara,JP,24.8,125.2833,69.39,70,8,14.74,clear sky
319,Koper,SI,45.5469,13.7294,39.29,40,0,6.91,clear sky
320,Ullapool,GB,57.8987,-5.1604,40.73,86,73,8.32,broken clouds
321,Rio Gallegos,AR,-51.6226,-69.2181,57.25,35,0,20.71,clear sky
322,Baykit,RU,61.67,96.37,-21.89,100,56,3.2,broken clouds
323,Umm Kaddadah,SD,13.6017,26.6876,71.62,15,29,15.05,scattered clouds
324,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,16.75,light snow
325,Vanavara,RU,60.34,102.2797,-20.99,100,97,1.74,overcast clouds
326,Saint George,US,37.1041,-113.5841,63.63,19,0,4.0,clear sky
327,Manggar,ID,-2.8833,108.2667,78.44,85,99,5.75,overcast clouds
328,Peniche,PT,39.3558,-9.3811,55.56,95,100,8.25,light rain
329,Tigil,RU,57.8,158.6667,-5.44,97,5,2.37,clear sky
330,Ostrovnoy,RU,68.0531,39.5131,30.09,76,100,16.4,overcast clouds
331,Mao,ES,39.8885,4.2658,55.96,88,75,4.61,broken clouds
332,Atar,MR,20.5169,-13.0499,77.29,8,0,10.74,clear sky
333,Sibolga,ID,1.7427,98.7792,76.14,89,61,3.09,broken clouds
334,Ishikari,JP,43.2397,141.3539,29.8,79,100,1.28,overcast clouds
335,Fort Nelson,CA,58.8053,-122.7002,0.99,71,100,6.91,light snow
336,Buala,SB,-8.145,159.5921,77.23,89,100,2.08,light rain
337,Vestmannaeyjar,IS,63.4427,-20.2734,40.64,54,81,20.13,broken clouds
338,Skibbereen,IE,51.55,-9.2667,48.11,93,59,27.69,broken clouds
339,Byron Bay,AU,-28.65,153.6167,64.29,81,63,6.8,broken clouds
340,Ibra,OM,22.6906,58.5334,74.48,35,6,1.57,clear sky
341,Yongan,CN,39.6957,113.6871,44.8,69,72,4.85,broken clouds
342,Mount Isa,AU,-20.7333,139.5,71.37,78,46,10.36,light intensity shower rain
343,Severo-Kurilsk,RU,50.6789,156.125,29.1,90,94,6.33,overcast clouds
344,Kang,BW,-23.6752,22.7876,74.34,36,0,6.55,clear sky
345,Hay River,CA,60.8156,-115.7999,-2.22,71,40,10.36,scattered clouds
