City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
356,Jamalpur,BD,71.42,broken clouds,24.9167,89.9333,College hostel
357,Vao,NC,79.12,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
359,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
361,Koumac,NC,79.14,clear sky,-20.5667,164.2833,Le Monitel
365,Diamantino,BR,81.57,overcast clouds,-14.4086,-56.4461,Hotel Delta
367,Soyo,AO,80.58,overcast clouds,-6.1349,12.3689,Hotel Mpampa
368,Mandya,IN,71.17,clear sky,12.5242,76.8958,Haripriya Hotel
370,Santa Rita,BR,86.67,scattered clouds,-7.1139,-34.9781,Infinity Motel
371,Casa Grande,US,73.98,clear sky,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
372,Simbahan,PH,81.61,overcast clouds,6.3032,120.5836,
373,Conceicao Do Mato Dentro,BR,75.7,overcast clouds,-19.0372,-43.425,Hotel Vista Inn
377,Beloha,MG,75.09,light rain,-25.1667,45.05,
378,Amahai,ID,78.17,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
380,San Ramon De La Nueva Oran,AR,77.34,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
383,Pilar,BR,85.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
384,Huai Yot,TH,73.87,broken clouds,7.7893,99.6348,สาม
387,Sola,VU,81.28,overcast clouds,-13.8833,167.55,Leumerus Bungalows
388,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
389,Cayenne,GF,75.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
392,Luganville,VU,79.9,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
395,Lima,PE,78.13,few clouds,-12.0432,-77.0282,Hotel Kamana
397,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
398,Ranong,TH,76.96,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
401,Pires Do Rio,BR,81.59,light rain,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
406,Adrar,MR,73.76,clear sky,20.5022,-10.0711,
408,Kavieng,PG,81.63,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
410,Tambura,SS,79.36,overcast clouds,5.6,27.4667,Rikito Lodge
411,Merauke,ID,77.02,overcast clouds,-8.4667,140.3333,
413,Lagunas,PE,82.26,moderate rain,-5.2269,-75.6753,Hospedaje Eco
414,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
415,Coahuayana,MX,86.74,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
416,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
417,Mercedes,AR,77.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
418,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
425,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
429,Manaure,CO,87.55,overcast clouds,11.7751,-72.4445,Hotel Palaaima
430,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
432,Calama,CL,72.09,scattered clouds,-22.4667,-68.9333,Park Hotel Calama
433,Bilma,NE,71.74,clear sky,18.6853,12.9164,Expeditions Ténére voyages
434,Alegrete,BR,74.25,broken clouds,-29.7831,-55.7919,Hotel Alegrete
439,Laguna,US,71.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
440,Maragogi,BR,81.68,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
444,Pacasmayo,PE,78.57,broken clouds,-7.4006,-79.5714,Hotel Libertad
446,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
447,Obo,CF,75.83,overcast clouds,5.3998,26.4869,
451,Kidal,ML,81.07,clear sky,18.4411,1.4078,
452,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
455,Makakilo City,US,79.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
459,Paso De Carrasco,UY,70.25,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
464,Dabhol,IN,77.63,clear sky,17.6,73.1667,Ashwamedh Resort
466,Hwange,ZW,70.36,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
467,Bartica,GY,84.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
468,Tagusao,PH,78.62,clear sky,9.1924,117.8141,Green Villa beach resort
470,Tautira,PF,80.2,broken clouds,-17.7333,-149.15,Pension Oaoa
472,Kupang,ID,77.88,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
476,Mattru,SL,81.03,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
477,Farafangana,MG,75.54,light rain,-22.8167,47.8333,Miarina
479,Zitlala,MX,80.92,few clouds,17.6333,-99.0833,
482,Belmonte,BR,81.73,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
485,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
487,Mayumba,GA,79.45,moderate rain,-3.432,10.6554,LIKWALE LODGE
490,Kirakira,SB,78.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
491,Nouakchott,MR,89.53,clear sky,18.0858,-15.9785,HOTEL IMAN
495,Harper,LR,80.6,overcast clouds,4.375,-7.7169,Screensaver
499,Vaitape,PF,81.9,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
505,Tarakan,ID,79.52,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
506,Zaraza,VE,87.01,overcast clouds,9.3503,-65.3245,Hotel Zaraza
507,Isangel,VU,79.88,clear sky,-19.55,169.2667,Tanna Lodge
508,Guanica,PR,84.51,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
511,Kudahuvadhoo,MV,82.38,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
513,Gweta,BW,81.05,clear sky,-20.1833,25.2333,Gweta Lodge
516,Alfenas,BR,71.13,overcast clouds,-21.4292,-45.9472,Hotel Plaza
520,Tabuk,PH,71.6,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
524,Amarante Do Maranhao,BR,79.48,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
525,Bera,BD,72.73,scattered clouds,24.0833,89.6167,Sohel Parvez
526,Miri,MY,73.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
527,Davila,PH,76.91,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
528,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
533,Weligama,LK,76.69,overcast clouds,5.9667,80.4167,Weligama Bay Resort
535,Ciudad Guayana,VE,83.21,broken clouds,8.3533,-62.6528,Hotel Las Americas
536,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
543,Chau Doc,VN,78.1,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
545,Ca Mau,VN,77.41,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
549,Porto Walter,BR,82.08,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
554,Kieta,PG,77.07,few clouds,-6.2167,155.6333,Uruna Bay Retreat
561,Lae,PG,75.42,few clouds,-6.7221,146.9847,Phils Hotel
567,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
568,Kokopo,PG,76.17,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
571,Jacareacanga,BR,86.61,broken clouds,-6.2222,-57.7528,Casa do Ian😎
573,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
574,Tabou,CI,80.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
575,Imbituba,BR,70.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
576,Yei,SS,75.22,broken clouds,4.095,30.6779,City Link Hotel
577,Hervey Bay,AU,72.55,few clouds,-25.2986,152.8535,Shelly Bay Resort
579,Kaberamaido,UG,76.82,broken clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
584,Badvel,IN,74.86,clear sky,14.75,79.05,UNS Residency Lodge A/c
586,San Pedro,PH,78.03,moderate rain,14.35,121.0167,Esquivel's Garden And Resort
587,La Asuncion,VE,79.7,few clouds,11.0333,-63.8628,Colinas de Matasiete
590,Rancho Palos Verdes,US,80.08,clear sky,33.7445,-118.387,Terranea Resort
597,Da Nang,VN,73.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
598,Tombouctou,ML,74.8,clear sky,20.0,-3.0,
599,Pundaguitan,PH,82.0,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
600,Bitkine,TD,86.95,clear sky,11.9801,18.2138,
607,Metro,ID,72.79,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
608,Sao Miguel Do Araguaia,BR,81.88,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
609,Pa Sang,TH,84.02,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
610,Palauig,PH,79.16,few clouds,15.435,119.9045,Alperi Botique Resort
612,Ranchi,IN,71.71,haze,23.35,85.3333,Radisson Blu Hotel Ranchi
615,Japura,ID,73.49,broken clouds,-0.3167,102.35,Rumah mbah Jamah
618,Voi,KE,73.18,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
623,Robertsport,LR,79.79,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
631,Mosetse,BW,71.71,clear sky,-20.75,26.65,
633,Marovoay,MG,77.58,moderate rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
635,Pouembout,NC,78.1,scattered clouds,-21.1333,164.9,Camping de Tipenga
640,Jiwani,PK,77.14,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
643,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
647,Mulege,MX,72.23,clear sky,26.8833,-111.9833,Casa Granada
649,Gizo,SB,81.88,overcast clouds,-8.103,156.8419,Imagination Island
653,San-Pedro,CI,79.61,broken clouds,4.7485,-6.6363,Hotel Maria
656,Finschhafen,PG,78.78,few clouds,-6.6024,147.8681,Cossam Guest House
661,Trairi,BR,79.63,overcast clouds,-3.2778,-39.2689,janelas do mar
662,Bankura,IN,73.36,scattered clouds,23.25,87.0667,Hotel Priyadarsini
666,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
668,Alta Gracia,AR,80.89,scattered clouds,-31.6529,-64.4283,Hotel Ritz
672,Rosario,AR,78.82,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
673,Puerto Madero,MX,84.88,clear sky,14.7208,-92.4215,Hospedaje madero
674,Pak Phanang,TH,78.66,overcast clouds,8.3511,100.202,Green Park Inn Hotel
675,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
677,Morant Bay,JM,88.72,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
680,Santiago Del Estero,AR,80.17,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
686,Caxito,AO,76.59,overcast clouds,-8.5785,13.6643,
687,Letlhakane,BW,76.42,clear sky,-21.4167,25.5833,Motswedi Hotel
688,Providencia,MX,83.41,clear sky,28.7167,-111.5833,
690,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
